M5 #,M5-120 #,Facet,label_raw,text,Score F/R,label_ocean,instrument,key
1,1,N1,Anxiety,Worry about things,F,N,NEO-120,1
32,2,E1,Friendliness,Make friends easily,F,E,NEO-120,1
3,3,O1,Imagination,Have a vivid imagination,F,O,NEO-120,1
34,4,A1,Trust,Trust others,F,A,NEO-120,1
5,5,C1,Self-efficacy,Complete tasks successfully,F,C,NEO-120,1
6,6,N2,Anger,Get angry easily,F,N,NEO-120,1
67,7,E2,Gregariousness,Love large parties,F,E,NEO-120,1
8,8,O2,Artistic Interests,Believe in the importance of art,F,O,NEO-120,1
39,9,A2,Morality,Use others for your own ends,R,A,NEO-120,-1
40,10,C2,Orderliness,Like to tidy up,F,C,NEO-120,1
41,11,N3,Depression,Often feel blue,F,N,NEO-120,1
12,12,E3,Assertiveness,Take charge,F,E,NEO-120,1
43,13,O3,Emotionality,Experience your emotions intensely,F,O,NEO-120,1
164,14,A3,Altruism,Love to help others,F,A,NEO-120,1
75,15,C3,Dutifulness,Keep your promises,F,C,NEO-120,1
136,16,N4,Self-consciousness,Find it difficult to approach others,F,N,NEO-120,1
47,17,E4,Activity Level,Are always busy,F,E,NEO-120,1
18,18,O4,Adventurousness,Prefer variety to routine,F,O,NEO-120,1
139,19,A4,Cooperation,Love a good fight,R,A,NEO-120,-1
110,20,C4,Achievement-striving,Work hard,F,C,NEO-120,1
201,21,N5,Immoderation,Go on binges,F,N,NEO-120,1
22,22,E5,Excitement-seeking,Love excitement,F,E,NEO-120,1
83,23,O5,Intellect,Love to read challenging material,F,O,NEO-120,1
54,24,A5,Modesty,Believe that you are better than others,R,A,NEO-120,-1
85,25,C5,Self-discipline,Are always prepared,F,C,NEO-120,1
26,26,N6,Vulnerability,Panic easily,F,N,NEO-120,1
57,27,E6,Cheerfulness,Radiate joy,F,E,NEO-120,1
28,28,O6,Liberalism,Tend to vote for liberal political candidates,F,O,NEO-120,1
59,29,A6,Sympathy,Sympathize with the homeless,F,A,NEO-120,1
60,30,C6,Cautiousness,Jump into things without thinking,R,C,NEO-120,-1
61,31,N1,Anxiety,Fear for the worst,F,N,NEO-120,1
152,32,E1,Friendliness,Feel comfortable around other people,F,E,NEO-120,1
63,33,O1,Imagination,Enjoy wild flights of fancy,F,O,NEO-120,1
124,34,A1,Trust,Believe that others have good intentions,F,A,NEO-120,1
65,35,C1,Self-efficacy,Excel in what you do,F,C,NEO-120,1
36,36,N2,Anger,Get irritated easily,F,N,NEO-120,1
97,37,E2,Gregariousness,Talk to a lot of different people at parties,F,E,NEO-120,1
128,38,O2,Artistic Interests,See beauty in things that others might not notice,F,O,NEO-120,1
159,39,A2,Morality,Cheat to get ahead,R,A,NEO-120,-1
70,40,C2,Orderliness,Often forget to put things back in their proper place,R,C,NEO-120,-1
71,41,N3,Depression,Dislike yourself,F,N,NEO-120,1
102,42,E3,Assertiveness,Try to lead others,F,E,NEO-120,1
73,43,O3,Emotionality,Feel others' emotions,F,O,NEO-120,1
194,44,A3,Altruism,Are concerned about others,F,A,NEO-120,1
195,45,C3,Dutifulness,Tell the truth,F,C,NEO-120,1
166,46,N4,Self-consciousness,Are afraid to draw attention to yourself,F,N,NEO-120,1
77,47,E4,Activity Level,Are always on the go,F,E,NEO-120,1
48,48,O4,Adventurousness,Prefer to stick with things that you know,R,O,NEO-120,-1
169,49,A4,Cooperation,Yell at people,R,A,NEO-120,-1
230,50,C4,Achievement-striving,Do more than what's expected ofyou,F,C,NEO-120,1
21,51,N5,Immoderation,Rarely overindulge,R,N,NEO-120,-1
112,52,E5,Excitement-seeking,Seek adventure,F,E,NEO-120,1
113,53,O5,Intellect,Avoid philosophical discussions,R,O,NEO-120,-1
84,54,A5,Modesty,Think highly of yourself,R,A,NEO-120,-1
265,55,C5,Self-discipline,Carry out your plans,F,C,NEO-120,1
116,56,N6,Vulnerability,Become overwhelmed by events,F,N,NEO-120,1
87,57,E6,Cheerfulness,Have a lot of fun,F,E,NEO-120,1
148,58,O6,Liberalism,Believe that there is no absolute right or wrong,F,O,NEO-120,1
89,59,A6,Sympathy,Feel sympathy for those who are worse off than yourself,F,A,NEO-120,1
90,60,C6,Cautiousness,Make rash decisions,R,C,NEO-120,-1
91,61,N1,Anxiety,Are afraid of many things,F,N,NEO-120,1
92,62,E1,Friendliness,Avoid contacts with others,R,E,NEO-120,-1
93,63,O1,Imagination,Love to daydream,F,O,NEO-120,1
154,64,A1,Trust,Trust what people say,F,A,NEO-120,1
95,65,C1,Self-efficacy,Handle tasks smoothly,F,C,NEO-120,1
246,66,N2,Anger,Lose your temper,F,N,NEO-120,1
7,67,E2,Gregariousness,Prefer to be alone,R,E,NEO-120,-1
98,68,O2,Artistic Interests,Do not like poetry,R,O,NEO-120,-1
249,69,A2,Morality,Take advantage of others,R,A,NEO-120,-1
100,70,C2,Orderliness,Leave a mess in your room,R,C,NEO-120,-1
161,71,N3,Depression,Are often down in the dumps,F,N,NEO-120,1
252,72,E3,Assertiveness,Take control of things,F,E,NEO-120,1
163,73,O3,Emotionality,Rarely notice your emotional reactions,R,O,NEO-120,-1
74,74,A3,Altruism,Are indifferent to the feelings of others,R,A,NEO-120,-1
15,75,C3,Dutifulness,Break rules,R,C,NEO-120,-1
226,76,N4,Self-consciousness,Only feel comfortable with friends,F,N,NEO-120,1
137,77,E4,Activity Level,Do a lot in your spare time,F,E,NEO-120,1
78,78,O4,Adventurousness,Dislike changes,R,O,NEO-120,-1
229,79,A4,Cooperation,Insult people,R,A,NEO-120,-1
80,80,C4,Achievement-striving,Do just enough work to get by,R,C,NEO-120,-1
111,81,N5,Immoderation,Easily resist temptations,R,N,NEO-120,-1
202,82,E5,Excitement-seeking,Enjoy being reckless,F,E,NEO-120,1
143,83,O5,Intellect,Have difficulty understanding abstract ideas,R,O,NEO-120,-1
144,84,A5,Modesty,Have a high opinion of yourself,R,A,NEO-120,-1
115,85,C5,Self-discipline,Waste your time,R,C,NEO-120,-1
146,86,N6,Vulnerability,Feel that I'm unable to deal with things,F,N,NEO-120,1
207,87,E6,Cheerfulness,Love life,F,E,NEO-120,1
88,88,O6,Liberalism,Tend to vote for conservative political candidates,R,O,NEO-120,-1
29,89,A6,Sympathy,Are not interested in other people's problems,R,A,NEO-120,-1
180,90,C6,Cautiousness,Rush into things,R,C,NEO-120,-1
181,91,N1,Anxiety,Get stressed out easily,F,N,NEO-120,1
272,92,E1,Friendliness,Keep others at a distance,R,E,NEO-120,-1
183,93,O1,Imagination,Like to get lost in thought,F,O,NEO-120,1
4,94,A1,Trust,Distrust people,R,A,NEO-120,-1
245,95,C1,Self-efficacy,Know how to get things done,F,C,NEO-120,1
186,96,N2,Anger,Are not easily annoyed,R,N,NEO-120,-1
157,97,E2,Gregariousness,Avoid crowds,R,E,NEO-120,-1
188,98,O2,Artistic Interests,Do not enjoy going to art museums,R,O,NEO-120,-1
279,99,A2,Morality,Obstruct others' plans,R,A,NEO-120,-1
190,100,C2,Orderliness,Leave your belongings around,R,C,NEO-120,-1
101,101,N3,Depression,Feel comfortable with yourself,R,N,NEO-120,-1
42,102,E3,Assertiveness,Wait for others to lead the way,R,E,NEO-120,-1
283,103,O3,Emotionality,Don't understand people who get emotional,R,O,NEO-120,-1
284,104,A3,Altruism,Take no time for others,R,A,NEO-120,-1
105,105,C3,Dutifulness,Break your promises,R,C,NEO-120,-1
196,106,N4,Self-consciousness,Are not bothered by difficult social situations,R,N,NEO-120,-1
17,107,E4,Activity Level,Like to take it easy,R,E,NEO-120,-1
288,108,O4,Adventurousness,Are attached to conventional ways,R,O,NEO-120,-1
259,109,A4,Cooperation,Get back at others,R,A,NEO-120,-1
200,110,C4,Achievement-striving,Put little time and effort into your work,R,C,NEO-120,-1
171,111,N5,Immoderation,Are able to control your cravings,R,N,NEO-120,-1
232,112,E5,Excitement-seeking,Act wild and crazy,F,E,NEO-120,1
233,113,O5,Intellect,Are not interested in theoretical discussions,R,O,NEO-120,-1
234,114,A5,Modesty,Boast about your virtues,R,A,NEO-120,-1
235,115,C5,Self-discipline,Have difficulty starting tasks,R,C,NEO-120,-1
56,116,N6,Vulnerability,Remain calm under pressure,R,N,NEO-120,-1
237,117,E6,Cheerfulness,Look at the bright side of life,F,E,NEO-120,1
238,118,O6,Liberalism,Believe that we should be tough on crime,R,O,NEO-120,-1
179,119,A6,Sympathy,Try not to think about the needy,R,A,NEO-120,-1
270,120,C6,Cautiousness,Act without thinking,R,C,NEO-120,-1
